nome,marca,ano,preco,km,transmissao,descricao
Kicks,Nissan,2019,138277,15386,Manual,"Hatch premium com design moderno e pacote tecnológico completo. Possui central multimídia avançada, ar-condicionado digital, rodas de liga leve, faróis full LED, câmera de ré, sensor de estacionamento, acabamento interno sofisticado e excelente dirigibilidade. Veículo seminovo em estado impecável, revisões em dia e ótimo custo-benefício."
Argo,Fiat,2019,139007,26279,Automático,"SUV confortável e espaçoso, ideal para famílias. Equipado com central multimídia touch, piloto automático, controles de tração e estabilidade, ar-condicionado automático, direção elétrica, bancos confortáveis, porta-malas amplo e condução suave. Baixa quilometragem e histórico de manutenção comprovado."
Compass,Jeep,2024,75278,13015,Manual,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição."
Oroch,Renault,2023,83315,40239,Automático,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição."
Nivus,Volkswagen,2019,114345,20619,Manual,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição."
308,Peugeot,2019,115260,37051,Manual,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição."
SW4,Toyota,2022,117754,27201,Automático,"Hatch premium com design moderno e pacote tecnológico completo. Possui central multimídia avançada, ar-condicionado digital, rodas de liga leve, faróis full LED, câmera de ré, sensor de estacionamento, acabamento interno sofisticado e excelente dirigibilidade. Veículo seminovo em estado impecável, revisões em dia e ótimo custo-benefício."
2008,Peugeot,2022,98738,29428,Automático,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição."
HR-V,Honda,2022,120789,30364,Manual,"SUV confortável e espaçoso, ideal para famílias. Equipado com central multimídia touch, piloto automático, controles de tração e estabilidade, ar-condicionado automático, direção elétrica, bancos confortáveis, porta-malas amplo e condução suave. Baixa quilometragem e histórico de manutenção comprovado."
WR-V,Honda,2020,112141,14282,Automático,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição."
WR-V,Honda,2021,143830,16178,Automático,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição."
Taos,Volkswagen,2020,134843,33152,Manual,"Hatch premium com design moderno e pacote tecnológico completo. Possui central multimídia avançada, ar-condicionado digital, rodas de liga leve, faróis full LED, câmera de ré, sensor de estacionamento, acabamento interno sofisticado e excelente dirigibilidade. Veículo seminovo em estado impecável, revisões em dia e ótimo custo-benefício."
Tracker,Chevrolet,2023,79130,27014,Manual,"Hatch premium com design moderno e pacote tecnológico completo. Possui central multimídia avançada, ar-condicionado digital, rodas de liga leve, faróis full LED, câmera de ré, sensor de estacionamento, acabamento interno sofisticado e excelente dirigibilidade. Veículo seminovo em estado impecável, revisões em dia e ótimo custo-benefício."
308,Peugeot,2019,92050,9570,Automático,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição."
Kwid,Renault,2021,163272,5965,Automático,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição."
Kwid,Renault,2019,149627,38056,Manual,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição."
2008,Peugeot,2020,86829,9960,Manual,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição."
S10,Chevrolet,2023,160324,11900,Manual,"Hatch premium com design moderno e pacote tecnológico completo. Possui central multimídia avançada, ar-condicionado digital, rodas de liga leve, faróis full LED, câmera de ré, sensor de estacionamento, acabamento interno sofisticado e excelente dirigibilidade. Veículo seminovo em estado impecável, revisões em dia e ótimo custo-benefício."
Elantra,Hyundai,2019,87685,32406,Manual,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição."
Yaris,Toyota,2024,177403,41469,Automático,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição."
3008,Peugeot,2022,154158,43598,Manual,"SUV confortável e espaçoso, ideal para famílias. Equipado com central multimídia touch, piloto automático, controles de tração e estabilidade, ar-condicionado automático, direção elétrica, bancos confortáveis, porta-malas amplo e condução suave. Baixa quilometragem e histórico de manutenção comprovado."
Renegade,Jeep,2021,212457,19849,Manual,"SUV confortável e espaçoso, ideal para famílias. Equipado com central multimídia touch, piloto automático, controles de tração e estabilidade, ar-condicionado automático, direção elétrica, bancos confortáveis, porta-malas amplo e condução suave. Baixa quilometragem e histórico de manutenção comprovado."
Kicks,Nissan,2023,122921,39756,Manual,"Hatch premium com design moderno e pacote tecnológico completo. Possui central multimídia avançada, ar-condicionado digital, rodas de liga leve, faróis full LED, câmera de ré, sensor de estacionamento, acabamento interno sofisticado e excelente dirigibilidade. Veículo seminovo em estado impecável, revisões em dia e ótimo custo-benefício."
i30,Hyundai,2019,149325,31093,Manual,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição."
Commander,Jeep,2022,190088,41522,Automático,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição."
Fastback,Fiat,2021,136863,17956,Automático,"Hatch premium com design moderno e pacote tecnológico completo. Possui central multimídia avançada, ar-condicionado digital, rodas de liga leve, faróis full LED, câmera de ré, sensor de estacionamento, acabamento interno sofisticado e excelente dirigibilidade. Veículo seminovo em estado impecável, revisões em dia e ótimo custo-benefício."
Oroch,Renault,2023,78880,10885,Automático,"SUV confortável e espaçoso, ideal para famílias. Equipado com central multimídia touch, piloto automático, controles de tração e estabilidade, ar-condicionado automático, direção elétrica, bancos confortáveis, porta-malas amplo e condução suave. Baixa quilometragem e histórico de manutenção comprovado."
Kwid,Renault,2021,210023,13044,Automático,"Hatch premium com design moderno e pacote tecnológico completo. Possui central multimídia avançada, ar-condicionado digital, rodas de liga leve, faróis full LED, câmera de ré, sensor de estacionamento, acabamento interno sofisticado e excelente dirigibilidade. Veículo seminovo em estado impecável, revisões em dia e ótimo custo-benefício."
Cruze,Chevrolet,2023,126645,35779,Manual,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição."
Kicks,Nissan,2022,113139,25082,Manual,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição."
